transaction_id	amount	sender_balance_before	sender_balance_after	receiver_balance_before	receiver_balance_after	transaction_type	hour	month_2026	day_of_week	device_type	region	is_fraud
UA0IFD0TV	703.9	58586.32	57882.42	29932.92	30636.82	peer	14	1	Tue	smartphone	Nairobi	0
UJAHXTHV3	254.44	8088	7833.56	22962.44	23216.88	peer	18	10	Sat	feature	Eldoret	1
UEF8MDD4V	609.04	56675	56065.96	1029.22	1638.26	till	7	5	Thu	smartphone	Kisumu	0
UBT3W5UZB	5255.34	75090.36	69835.02	38.94	5294.28	paybill	11	2	Mon	smartphone	Nakuru	0
UGKWNNHJ7	7282.67	24408.96	17126.29	26237.82	33520.49	till	0	7	Sat	smartphone	Nairobi	0
ULIQJ7YHL	848.31	42029.5	41181.19	19993.05	20841.36	peer	16	12	Tue	smartphone	Eldoret	0
UGJH75LXO	71.68	18698.43	18626.75	4530.32	4602	paybill	15	7	Tue	feature	Kisumu	0
UD0T0PVN9	1445.02	41187.33	39742.31	29620.73	31065.75	paybill	11	4	Mon	smartphone	Mombasa	0
UCW2PCN9T	71.35	54456.57	54385.22	22524.96	22596.31	peer	18	3	Sat	smartphone	Nairobi	0
UE1MKFAZZ	20.03	64690.95	64670.92	15230.69	15250.72	peer	13	5	Fri	smartphone	Eldoret	0
UKSHNF877	154.17	19357.93	19203.76	34163.18	34317.35	paybill	19	11	Mon	smartphone	Kisumu	0
UEIIUC039	1412.4	2847.64	1435.24	45466.02	46878.42	peer	7	5	Tue	feature	Kisumu	0
UCJ5PHT0H	449.19	60453.38	60004.19	21257.79	21706.98	till	7	3	Sat	feature	Eldoret	0
UIQICATVA	349.68	14869.87	14520.19	48479.23	48828.91	peer	3	9	Tue	smartphone	Nakuru	0
UFCIYHE7U	2238.37	31672.5	29434.13	46332.94	48571.31	paybill	1	6	Sun	feature	Nairobi	0
UBDPPQ0Y9	1948.92	7170.55	5221.63	9799.14	11748.06	paybill	14	2	Sat	feature	Mombasa	0
UDGTFGQ5C	69.42	67578.25	67508.83	37366.01	37435.43	till	7	4	Mon	smartphone	Nairobi	0
UA874FRHO	1163.79	28604.59	27440.8	14046.73	15210.52	paybill	23	1	Mon	feature	Eldoret	0
UHKZ02XRG	1173.61	23772.25	22598.64	8263.35	9436.96	peer	8	8	Fri	smartphone	Kisumu	0
UABR7TCS4	23.64	61802.36	61778.72	9935.78	9959.42	peer	8	1	Sat	smartphone	Kisumu	0
UB7UUBCXU	8.31	15987.51	15979.2	35567.1	35575.41	paybill	10	2	Tue	feature	Nakuru	0
UEOYKL1CQ	2342.23	74111.44	71769.21	32553.85	34896.08	peer	4	5	Mon	smartphone	Mombasa	0
UEEMCIKPT	3696.94	49901.52	46204.58	16544.9	20241.84	till	8	5	Fri	smartphone	Eldoret	0
UE7D5J60F	98.5	53540.42	53441.92	33296.12	33394.62	peer	22	5	Sat	feature	Eldoret	0
UKWJR64DP	1342.15	70988.3	69646.15	23610.75	24952.9	peer	21	11	Wed	smartphone	Mombasa	0
UC0TPAC56	191.06	67928.21	67737.15	36086.48	36277.54	paybill	13	3	Fri	smartphone	Kisumu	0
UCBN78BMY	403.75	39554.27	39150.52	26136.64	26540.39	paybill	13	3	Sun	feature	Nakuru	0
ULF75935A	836.72	35202.99	34366.27	10085.96	10922.68	paybill	9	12	Sun	feature	Eldoret	0
